cd_sector,tx_sector_descr_nl,ms_avg_tot_net_taxable_inc,ms_median_net_taxable_inc
11022A401,NIEUWMOER-CENTRUM,34716,27449
11022A412,HEIKANT - MAATJES,43984,35762
11022A423,ZILVERENHOEK,48383,31908
11022A48-,MARIJNEVENNEN - MAATJES,37313,33398
11022A49-,VENETIE,36039,27455
11022A50-,KRUISSTRAAT,36629,30558
11022A582,FOKSEMAAT,38792,30785
11022A591,STOK 1300 M,NA,NA
11022A682,HEIKEN-ZUID,47858,35826
11022A692,GROENENDRIES,24992,21433
11023A00-,KAPELLEN-CENTRUM,32702,26069
11023A01-,BEUKENHOF,46687,34954
11023A02-,ESSENHOUT - ZILVEREN HOEK,39304,30272
11023A03-,HOEVENSE BAAN,38759,31491
11023A04-,BEAULIEU,40151,30656
11023A050,STARRENHOF,48653,35896
11023A062,DENNENBURG,55739,38836
11023A08-,KAPELLEN VERSPR. BEW.-WEST,40105,31693
11023A091,MIDDELBEEK,NA,NA
11023A10-,PUTTE-CENTRUM,38160,30536
11023A11-,ERTBRAND,40391,32406
11023A122,PUTTE-OOST,57146,39812
11023A133,RIJMAKERSBOS,66660,42763
11023A191,ERTBRAND - FORT,45832,32392
11023A200,KAPELLENBOS-CENTRUM,64170,40437
11023A212,GOLF,66252,36417
11023A280,WOLVEBOS,NA,41831
11023A291,SCHIETVELD,54090,33635
11023B30-,ZILVERENHOEK,41003,30866
11023B31-,HAZELDONK,47755,27847
11023B32-,DE STERRE,55054,37617
11023B330,KLEIN HEIKEN,41180,34089
11023B391,VLOEIENDE,47466,40097
11023B40-,HOOGBOOM,49100,33870
11023B49-,VERLOREN HOEK - BUNGE,55386,32121
11024A00-,KONTICH-CENTRUM,35016,26357
11024A01-,BROEKBEEMDEN - NACHTEGAAL,45011,33564
11024A02-,LIJSTERBOL - KRUISSCHANSLEI,44225,33072
11024A03-,TUINWIJK - GROENINGENLEI,40944,29063
11024A04-,ALTENA,45494,33851
11024A05-,BLAUWE STEEN,39859,30356
11024A072,INDUSTRIETERREIN,NA,NA
11024A09-,KONTICH - VERSPR. BEW.-NOORD,64227,47207
11024A10-,BOONWIT,42714,32925
11024A111,SINT-RITA,43280,37268
11024A132,PIERSSTRAAT,47543,32420
11024A142,HOGE AARD,NA,NA
11024A191,KEIZERSHOEK-RIJKEROOI-VALVEKEN,46664,33948
11024A1MA,INDUSTRIEZONE - SATENROZEN,47965,35506
